x1,x2,classe
7.477.405.020.347.240,14.200.634.590.892.000,0
23.410.415.559.802.600,9.247.786.482.764.800,0
26.105.320.964.930.100,24.903.603.644.559.100,0
5.651.803.475.985.750,219.254.852.183.907,0
3.232.662.456.143.610,18.693.636.536.648.300,0
0.0,19.315.702.161.413.000,0
2.939.567.199.225.860,5.162.794.265.659.720,0
25.643.735.674.491.300,2.357.330.532.313.320,0
27.985.423.744.641.100,4.492.609.749.194.420,0
45.476.275.421.557.200,29.418.444.691.330.500,0
4.025.084.767.896.530,7.857.702.437.382.630,0
49.337.837.489.509.500,1.466.472.688.822.500,0
9.663.323.807.593.380,1.0,0
7.320.296.715.532.690,642.226.475.856.773,0
8.939.638.639.339.980,6.503.795.720.692.760,0
6.488.295.663.383.170,7.246.191.756.281.960,0
7.213.694.942.133.970,7.771.842.030.758.960,0
7.425.925.123.477.620,9.168.726.741.543.680,0
7.628.190.583.817.660,6.739.236.353.501.700,0
1.0,5.559.785.243.192.910,0
9.129.482.807.180.870,8.853.629.910.898.680,0
6.403.896.719.304.400,7.396.829.422.287.270,0
9.177.643.042.691.520,817.186.581.583.614,0
6.954.277.956.515.090,544.351.168.667.131,0
9.566.899.643.904.300,7.542.639.154.728.420,0
32.221.793.337.291.800,7.606.833.304.164.880,1
18.400.080.538.877.100,7.458.630.807.064.300,1
32.854.262.123.777.300,6.230.119.568.046.020,1
5.621.484.825.396.260,7.772.154.140.848.950,1
10.805.652.867.846.900,8.009.290.423.831.370,1
14.023.308.040.256.900,8.178.694.531.160.160,1
4.571.056.075.633.050,6.092.122.525.764.290,1
4.281.081.200.498.810,769.292.040.382.412,1
4.071.173.424.468.160,9.618.882.412.730.680,1
2.485.608.149.490.460,617.900.574.799.859,1
15.288.364.364.767.900,6.098.445.487.341.270,1
27.355.772.473.267.100,7.599.959.810.957.550,1
9.202.609.300.821.570,30.395.047.659.563.100,1
8.810.931.329.669.070,38.523.875.822.118.500,1
8.398.502.884.434.150,5.496.236.129.126.260,1
9.720.971.744.625.320,8.535.545.987.361.920,1
7.200.937.342.068.400,2.592.136.452.885.190,1
8.459.691.658.985.470,28.926.153.352.097.300,1
9.494.555.831.647.220,18.714.622.124.634.500,1
7.533.808.968.461.080,0.0,1
8.128.374.649.959.540,3.077.420.920.394.770,1
9.109.628.948.262.610,34.925.096.546.537.300,1
9.048.857.906.308.300,24.660.479.169.776.200,1
7.478.755.299.113.110,21.654.857.219.843.300,1
8.878.080.601.451.200,48.262.467.299.557.300,1
